"","sexe_dente","Airesecteur1_dente","Airesecteur2_dente","Airesecteur3_dente","Airesecteur4_dente","Airesecteur5_dente","Airesecteur6_dente","Airesecteur7_dente","Airesecteur8_dente","CEJ_crete_dente","M_CEJ_dente","BC_dente","Echancrure1_dente","InclinaisonTable_dente","xBA_dente","yBA_dente","PositionyM_dente","PsitionxM_dente","MC_dente","MB_dente","SLaTaOsM_dente","SLaTaOs25_dente","SLaTaOs50_dente","SLaTaOs75_dente","SEpCoM_dente","SEpCo25_dente","SEpCo50_dente","SEpCo75_dente","SEpTaOs2mmC_dente","SEpTaOsTangM_dente","SEpCo2mmC_dente","SEpCo2mmM_dente","SEpTr2mmC_dente","SEpTr2mmM_dente","SEpTr25_dente","SEpTr50_dente","SEpTr75_dente","SEpTrM_dente","SSuToMa_dente","SPeToMa_dente","SSuTrPaAl_dente","SPeTrAl_dente","SSuToCo_dente","SPeToCo_dente","SSuToTr_dente","SPeToTr_dente","SSuCoAl_dente","SPeCoAl_dente","SSuMaPaAl_dente","SPeMaAl_dente","SSuMaPaBas_dente","SPeMaBas_dente","SSuCoBa_dente","SPeCoBas_dente","SSuTrPaBas_dente","SPeBaTr_dente","NGCoC_dente","NGCoB_dente","DiffNG_dente","NGCoApgauche_dente","NGCoApdroite_dente","NGTrabC_dente","NGTrabB_dente","NGTrabN_dente","VEVIApex_dente","LELIApex_dente","VEVIM_dente","LELIM_dente","VEVI2mmC_dente","LELI2mmC_dente","MVE_dente","MVI_dente","MLE_dente","MLI_dente","SSuApexC_dente","SSuApexM_dente","MApex_dente","CApex_dente","SLaTaOsAp_dente","SEpTrAp_dente","SEpCoAp_dente","surf_alv","surf_mand","surf_rac","surf_souche","haut_alv_mand","haut_alv","haut_mand","FM1_edente","FM2_edente"
"97","0","0.015","0.125","0.161","0.047","0.120","0.375","0.140","0.017",27,117,158,"0.949","6.525","57.045","99.406",116,67,90,68,49,45,56,57,22,10,19,24,44,50,15,22,29,28,35,37,33,27,6978,"376.640",2769,"238.125",3312,"674.186",3666,"297.545",1752,"457.563",4521,"275.439",2408,"208.225",1538,"278.652",870,"124.426","96.445","167.865","71.420","124.026","146.911","102.813","81.455","84.351",11,13,13,10,7,9,33,20,17,7,3000,1461,28,62,57,33,24,0.238221632382216,0.139581541989109,0.376333333333333,-0.0376454483230664,0.0705882352941177,0.2,0.139240506329114,202,467
"98","1","0.086","0.217","0.086","0.038","0.150","0.205","0.145","0.073",27,82,111,"0.940","22.175","67.611","119.266",122,68,55,56,59,55,65,68,22,36,28,23,38,61,26,22,12,39,19,37,45,37,5197,"294.394",1663,"170.510",2412,"524.636",2785,"230.243",1280,"315.706",2943,"219.196",2195,"200.125",1110,"264.693",1085,"136.569","152.878","221.191","68.313","132.318","223.573","113.201","145.043","149.259",12,20,13,10,6,15,29,16,31,21,425,2460,39,16,58,23,35,-0.148487937478763,-0.114489128343275,-1.25176470588235,0.0390243902439024,-0.070513833992095,-0.109090909090909,-0.036036036036036,261,498
"99","0","0.075","0.128","0.106","0.085","0.141","0.230","0.157","0.079",27,86,106,"0.997","18.676","62.865","67.760",76,67,59,47,73,67,73,72,29,36,48,32,59,74,42,28,17,46,31,25,40,47,6446,"297.486",1749,"197.782",3675,"540.413",2771,"243.279",2117,"354.836",3866,"247.054",2507,"206.368",1529,"246.693",978,"130.326","111.530","199.733","88.203","180.853","213.105","111.536","112.282","77.591",15,18,12,16,9,34,39,27,34,18,2624,1170,17,42,72,40,32,0.298241076047594,0.235805150480918,0.358231707317073,0.171794871794872,0.0455508474576271,0.135593220338983,0.0943396226415094,296,577
"100","0","0.085","0.084","0.030","0.013","0.066","0.377","0.261","0.084",15,128,133,"0.985","19.522","64.733","84.080",115,65,95,38,59,63,72,69,24,23,34,36,50,60,29,24,21,36,40,38,33,35,7605,"345.287",3236,"268.309",3674,"638.724",3931,"293.998",2708,"511.203",5944,"312.894",1602,"164.811",942,"200.167",660,"103.355","121.718","146.166","24.447","137.080","156.048","44.718","46.028","54.863",13,23,10,15,1,0,19,9,40,25,3887,1981,31,64,71,35,36,0.248317631224764,0.129125575279421,0.409055827116028,-0.0590610802624937,0.140350877192982,0.263157894736842,0.142857142857143,235,502
"101","0","0.046","0.182","0.094","0.039","0.061","0.257","0.278","0.043",9,124,147,"0.904","2.519","50.807","98.662",115,49,89,58,50,48,51,52,22,30,33,23,42,51,42,22,0,29,18,18,29,28,6489,"364.395",1644,"203.640",4129,"617.937",2364,"261.238",2477,"421.865",4117,"279.054",2322,"194.953",1630,"249.380",692,"110.426","138.670","181.458","42.788","149.487","163.537","115.445","94.389","103.139",19,14,12,9,23,19,26,14,24,15,2251,1810,36,53,51,18,33,0.170755404420695,0.125905378332563,0.351843625055531,-0.0502762430939227,0.0542769119246103,0.202247191011236,0.156462585034014,237,458
"102","0","0.076","0.214","0.165","0.046","0.067","0.211","0.148","0.072",31,79,114,"1.000","7.426","47.949","77.854",77,47,57,57,51,35,45,51,30,22,28,33,30,51,24,29,6,22,13,17,18,25,4698,"273.554",827,"133.012",3134,"468.683",1564,"195.569",1491,"283.238",2318,"192.225",2329,"190.569",1613,"257.096",716,"108.527","130.681","166.991","36.310","133.225","145.678","128.476","100.529","124.826",13,15,16,15,9,11,23,8,28,13,778,1496,31,26,44,17,27,-0.462899050905953,-0.100681140911026,-1.26349614395887,-0.054144385026738,-0.272727272727273,-0.350877192982456,-0.0614035087719298,248,482
"103","0","0.038","0.164","0.093","0.027","0.079","0.305","0.256","0.038",10,98,150,"0.919","5.635","59.578","91.675",111,61,88,62,47,62,64,60,21,23,27,32,55,48,55,21,0,27,39,37,28,26,7238,"376.450",2397,"215.882",4021,"654.262",3217,"278.561",2486,"449.664",4883,"285.782",2308,"195.154",1514,"264.995",794,"121.841","146.990","176.174","29.184","149.394","174.329","112.016","91.874","82.211",14,9,9,13,0,0,23,14,24,11,1235,3578,61,27,62,41,21,0.111406921974196,0.0589941972920696,0.376518218623482,0.0181665735047513,0.0702479338842976,0.113636363636364,0.0466666666666667,209,440
"104","1","0.106","0.190","0.052","0.018","0.082","0.264","0.192","0.094",8,64,103,"0.984","22.320","58.133","67.116",76,55,56,47,49,56,61,58,17,24,23,21,50,51,23,18,27,33,32,38,37,32,4763,"274.576",1764,"176.468",2058,"508.455",2705,"234.367",1217,"320.350",2981,"211.882",1733,"168.811",824,"230.309",909,"121.498","130.835","211.421","80.586","195.993","216.030","91.529","198.329","115.357",9,13,5,11,10,12,18,13,32,21,1015,1903,34,22,61,38,23,-0.0177792687017779,-0.100146966197775,0.176354679802956,-0.121387283236994,0.0535714285714285,0.0535714285714286,0,253,492
"105","1","0.056","0.174","0.152","0.067","0.084","0.234","0.177","0.056",18,114,141,"0.976","4.428","52.910","89.597",95,55,75,66,63,47,50,61,21,16,17,22,38,63,17,21,21,42,31,33,39,42,6847,"357.050",2350,"209.397",3134,"604.905",3713,"267.599",1387,"374.108",3737,"248.711",3047,"221.196",1726,"286.936",1321,"147.740","72.078","244.886","172.808","179.640","227.726","78.640","111.006","124.582",13,12,12,9,12,6,34,22,29,20,2914,760,13,59,63,40,23,0.49023280706449,0.217759602745728,0.611873713109128,0.0592105263157895,0.280695652173913,0.413333333333333,0.184397163120567,219,455
"106","1","0.050","0.257","0.195","0.037","0.119","0.283","0.034","0.025",24,88,128,"0.928","18.388","52.253","89.818",86,58,64,64,41,26,35,40,15,15,14,19,22,42,12,17,10,25,11,21,21,29,4511,"306.045",1054,"165.439",2598,"542.232",1913,"236.827",1009,"315.948",2063,"200.510",2407,"194.811",1574,"270.066",833,"127.255","390.561","718.223","327.662","480.026","370.056","439.108","361.804","377.441",11,4,10,7,9,5,22,15,19,10,966,1057,27,37,38,22,16,0.698982064953951,0.443582354245178,1,0.412488174077578,0.375,0.609375,0.375,212,480
"107","1","0.104","0.241","0.136","0.060","0.091","0.224","0.080","0.063",5,69,112,"0.969","18.281","49.405","85.623",83,49,60,52,55,17,30,47,23,17,17,23,14,55,14,23,0,32,0,13,24,36,4171,"269.498",791,"127.983",2482,"458.590",1689,"189.823",1094,"263.179",1885,"199.196",2231,"187.054",1365,"243.137",866,"122.083","150.544","211.561","61.017","218.722","214.889","93.653","93.124","86.350",9,12,10,13,0,0,26,16,30,17,1555,273,6,54,54,31,23,-0.147480106100796,-0.0100695276912012,-0.17427652733119,-0.0183150183150183,-0.0446483180428134,-0.0166666666666667,0.0267857142857143,237,490
"108","1","0.074","0.219","0.138","0.027","0.043","0.295","0.150","0.054",39,181,140,"0.952","8.277","42.922","98.426",105,42,83,57,45,24,31,39,25,17,19,21,20,44,20,26,0,18,7,12,18,20,4716,"316.133",937,"171.841",3008,"555.208",1708,"239.623",1596,"366.066",2533,"232.225",2138,"180.912",1387,"251.924",751,"111.012","129.280","171.587","42.307","165.825","161.677","89.427","95.506","123.139",10,10,11,12,0,1,17,6,26,14,1279,1218,31,52,35,14,21,0.783260955388867,0.362595419847328,1,0.549261083743842,0.609168380840435,0.771084337349398,0.414285714285714,207,442
"109","0","0.073","0.208","0.085","0.025","0.050","0.290","0.211","0.059",17,177,164,"0.984","11.562","61.213","130.680",145,59,92,72,58,58,61,64,24,20,23,28,54,60,15,25,39,35,38,38,36,34,8942,"405.152",3319,"261.640",4054,"746.677",4888,"341.525",2093,"490.936",5412,"301.296",3472,"233.782",1937,"326.693",1535,"160.912","84.299","183.028","98.729","163.266","194.820","91.098","109.901","119.680",14,13,10,12,9,7,22,12,35,23,3866,1482,25,67,63,36,27,0.464338507021434,0.296801610377992,0.650543197102949,0.00134952766531714,0.250172532781228,0.423913043478261,0.231707317073171,227,518
"110","0","0.055","0.120","0.095","0.032","0.121","0.336","0.189","0.051",19,100,134,"0.935","18.183","76.335","92.133",112,83,81,53,58,75,80,67,24,36,38,30,66,59,49,25,17,34,39,42,37,34,7817,"364.521",2773,"232.167",4027,"642.964",3790,"278.444",2633,"459.647",5406,"297.480",2353,"195.054",1370,"252.551",983,"125.498","153.922","183.488","29.566","145.837","169.142","119.266","167.940","96.765",16,17,12,10,0,22,27,15,30,20,3075,2250,35,46,76,41,35,0.0610432852386237,0.0890367148522451,-0.0526829268292683,0.209333333333333,-0.0711430855315748,-0.111111111111111,-0.0373134328358209,185,431
